chrom1	start1	end1	chrom2	start2	end2	name	score	strand1	strand2
chr1	242656319	242656320	HPV16REF|lcl|Human	1	2	E1_RAND74_A	.	+	.
chr1	207329570	207329571	HPV16REF|lcl|Human	1	2	E2_RAND77_B	.	+	.
chr1	147535266	147535267	HPV16REF|lcl|Human	1	2	E3_RAND70_A	.	+	.
chr1	93347171	93347172	HPV16REF|lcl|Human	1	2	E4_RAND86_B	.	+	.
chr1	88215665	88215666	HPV16REF|lcl|Human	1	2	E5_RAND98_A	.	+	.
chr1	83191505	83191506	HPV16REF|lcl|Human	1	2	E6_RAND75_B	.	+	.
chr1	72495799	72495800	HPV16REF|lcl|Human	1	2	E7_RAND63_A	.	+	.
chr1	22412818	22412819	HPV16REF|lcl|Human	1	2	E8_EXTRA_B	.	+	.
chr1	18033714	18033715	HPV16REF|lcl|Human	1	2	E9_EXTRA_A	.	+	.
chr1	13226313	13226314	HPV16REF|lcl|Human	1	2	E10_EXTRA_B	.	+	.
chr1	11651759	11651760	HPV16REF|lcl|Human	1	2	E11_EXTRA_A	.	+	.
chr1	10372341	10372342	HPV16REF|lcl|Human	1	2	E12_RAND96_B	.	+	.
chr1	4902915	4902916	HPV16REF|lcl|Human	1	2	E13_RAND83_A	.	+	.
chr2	239803038	239803039	HPV16REF|lcl|Human	1	2	E14_EXTRA_B	.	+	.
chr2	236888126	236888127	HPV16REF|lcl|Human	1	2	E15_RAND52_A	.	+	.
chr2	198607197	198607198	HPV16REF|lcl|Human	1	2	E16_RAND100_B	.	+	.
chr2	197773456	197773457	HPV16REF|lcl|Human	1	2	E17_RAND49_A	.	+	.
chr2	151136063	151136064	HPV16REF|lcl|Human	1	2	E18_EXTRA_B	.	+	.
chr2	100978863	100978864	HPV16REF|lcl|Human	1	2	E19_EXTRA_A	.	+	.
chr2	65688500	65688501	HPV16REF|lcl|Human	1	2	E20_RAND69_B	.	+	.
chr2	60168936	60168937	HPV16REF|lcl|Human	1	2	E21_RAND93_A	.	+	.
chr3	189879690	189879691	HPV16REF|lcl|Human	1	2	E22_EXTRA_B	.	+	.
chr3	163137594	163137595	HPV16REF|lcl|Human	1	2	E23_EXTRA_A	.	+	.
chr3	146257083	146257084	HPV16REF|lcl|Human	1	2	E24_EXTRA_B	.	+	.
chr3	141401612	141401613	HPV16REF|lcl|Human	1	2	E25_EXTRA_A	.	+	.
chr3	82226566	82226567	HPV16REF|lcl|Human	1	2	E26_EXTRA_B	.	+	.
chr3	81785783	81785784	HPV16REF|lcl|Human	1	2	E27_EXTRA_A	.	+	.
chr3	46492371	46492372	HPV16REF|lcl|Human	1	2	E28_RAND66_B	.	+	.
chr3	16842742	16842743	HPV16REF|lcl|Human	1	2	E29_RAND54_A	.	+	.
chr3	7420804	7420805	HPV16REF|lcl|Human	1	2	E30_RAND53_B	.	+	.
chr4	173084848	173084849	HPV16REF|lcl|Human	1	2	E31_RAND80_A	.	+	.
chr4	167562060	167562061	HPV16REF|lcl|Human	1	2	E32_RAND50_B	.	+	.
chr4	147855664	147855665	HPV16REF|lcl|Human	1	2	E33_EXTRA_A	.	+	.
chr4	103351588	103351589	HPV16REF|lcl|Human	1	2	E34_EXTRA_B	.	+	.
chr4	102926412	102926413	HPV16REF|lcl|Human	1	2	E35_RAND84_A	.	+	.
chr4	99404673	99404674	HPV16REF|lcl|Human	1	2	E36_RAND76_B	.	+	.
chr4	65176773	65176774	HPV16REF|lcl|Human	1	2	E37_RAND65_A	.	+	.
chr4	20172469	20172470	HPV16REF|lcl|Human	1	2	E38_RAND94_B	.	+	.
chr4	3117489	3117490	HPV16REF|lcl|Human	1	2	E39_RAND79_A	.	+	.
chr5	166587558	166587559	HPV16REF|lcl|Human	1	2	E40_RAND64_B	.	+	.
chr5	163616290	163616291	HPV16REF|lcl|Human	1	2	E41_RAND56_A	.	+	.
chr5	124471917	124471918	HPV16REF|lcl|Human	1	2	E42_EXTRA_B	.	+	.
chr5	40976082	40976083	HPV16REF|lcl|Human	1	2	E43_RAND92_A	.	+	.
chr6	139014012	139014013	HPV16REF|lcl|Human	1	2	E44_RAND89_B	.	+	.
