event_id	chrom	host_pos	del_len	ins_len	hpv_ref	hpv_path	hpv_strand	copies	source
E1_RAND64_C	chr1	236888126	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	RAND64
E2_Dup_D	chr1	234783386	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	Dup
E3_RAND58_C	chr1	228366844	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	RAND58
E4_RAND61_D	chr1	197773456	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND61
E5_RAND67_C	chr1	182939799	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	RAND67
E6_RAND94_D	chr1	161136902	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND94
E7_RAND49_C	chr1	155252875	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	RAND49
E8_RAND36_D	chr1	155043621	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND36
E9_RAND88_C	chr1	147535266	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	RAND88
E10_RAND92_D	chr1	83191505	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND92
E11_RAND87_C	chr1	65688500	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	RAND87
E12_RAND42_D	chr1	51620556	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND42
E13_LINE_C	chr1	16783209	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	LINE
E14_RAND44_D	chr2	215331128	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND44
E15_RAND74_C	chr2	182490861	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	RAND74
E16_RAND99_D	chr2	173084848	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND99
E17_RAND37_C	chr2	170224731	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	RAND37
E18_RAND62_D	chr2	167562060	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND62
E19_LINE_C	chr2	151136063	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	LINE
E20_RAND43_D	chr2	147610943	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND43
E21_RAND93_C	chr2	99404673	33063	9163	HPV16REF|lcl|Human	HPV:1471-7906,1-2727(+)	.	1	RAND93
E22_RAND70_D	chr2	82017057	342	21142	HPV16REF|lcl|Human	HPV:5983-7906,1-7906,1-7906,1-3406(+)	.	1	RAND70
