event_id	chrom	host_pos	del_len	ins_len	hpv_ref	hpv_path	hpv_strand	copies	source
E1_RAND74_A	chr1	242656319	0	4587	HPV16REF|lcl|Human	HPV:340-4926(+)	.	1	RAND74
E2_RAND77_B	chr1	207329570	134237	5974	HPV16REF|lcl|Human	HPV:4183-6784,4095-7466(-)	.	1	RAND77
E3_RAND70_A	chr1	147535266	0	4587	HPV16REF|lcl|Human	HPV:7254-3934(+)	.	1	RAND70
E4_RAND86_B	chr1	93347171	134237	5974	HPV16REF|lcl|Human	HPV:4600-7201,6631-2096(-)	.	1	RAND86
E5_RAND98_A	chr1	88215665	0	4587	HPV16REF|lcl|Human	HPV:5226-1906(+)	.	1	RAND98
E6_RAND75_B	chr1	83191505	134237	5974	HPV16REF|lcl|Human	HPV:508-3109,5734-1199(-)	.	1	RAND75
E7_RAND63_A	chr1	72495799	0	4587	HPV16REF|lcl|Human	HPV:4787-1467(+)	.	1	RAND63
E8_EXTRA_B	chr1	22412818	134237	5974	HPV16REF|lcl|Human	HPV:7031-1726,3896-7267(-)	.	1	EXTRA
E9_EXTRA_A	chr1	18033714	0	4587	HPV16REF|lcl|Human	HPV:4176-856(+)	.	1	EXTRA
E10_EXTRA_B	chr1	13226313	134237	5974	HPV16REF|lcl|Human	HPV:5297-7898,7083-2548(-)	.	1	EXTRA
E11_EXTRA_A	chr1	11651759	0	4587	HPV16REF|lcl|Human	HPV:4663-1343(+)	.	1	EXTRA
E12_RAND96_B	chr1	10372341	134237	5974	HPV16REF|lcl|Human	HPV:437-3038,646-4017(-)	.	1	RAND96
E13_RAND83_A	chr1	4902915	0	4587	HPV16REF|lcl|Human	HPV:4465-1145(+)	.	1	RAND83
E14_EXTRA_B	chr2	239803038	134237	5974	HPV16REF|lcl|Human	HPV:5407-102,7787-3252(-)	.	1	EXTRA
E15_RAND52_A	chr2	236888126	0	4587	HPV16REF|lcl|Human	HPV:7629-4309(+)	.	1	RAND52
E16_RAND100_B	chr2	198607197	134237	5974	HPV16REF|lcl|Human	HPV:315-2916,2308-5679(-)	.	1	RAND100
E17_RAND49_A	chr2	197773456	0	4587	HPV16REF|lcl|Human	HPV:4282-962(+)	.	1	RAND49
E18_EXTRA_B	chr2	151136063	134237	5974	HPV16REF|lcl|Human	HPV:7903-2598,7375-2840(-)	.	1	EXTRA
E19_EXTRA_A	chr2	100978863	0	4587	HPV16REF|lcl|Human	HPV:6058-2738(+)	.	1	EXTRA
E20_RAND69_B	chr2	65688500	134237	5974	HPV16REF|lcl|Human	HPV:7627-2322,4439-7810(-)	.	1	RAND69
E21_RAND93_A	chr2	60168936	0	4587	HPV16REF|lcl|Human	HPV:6499-3179(+)	.	1	RAND93
E22_EXTRA_B	chr3	189879690	134237	5974	HPV16REF|lcl|Human	HPV:4633-7234,11-3382(-)	.	1	EXTRA
E23_EXTRA_A	chr3	163137594	0	4587	HPV16REF|lcl|Human	HPV:5677-2357(+)	.	1	EXTRA
E24_EXTRA_B	chr3	146257083	134237	5974	HPV16REF|lcl|Human	HPV:6154-849,761-4132(-)	.	1	EXTRA
E25_EXTRA_A	chr3	141401612	0	4587	HPV16REF|lcl|Human	HPV:6246-2926(+)	.	1	EXTRA
E26_EXTRA_B	chr3	82226566	134237	5974	HPV16REF|lcl|Human	HPV:302-2903,7880-3345(-)	.	1	EXTRA
E27_EXTRA_A	chr3	81785783	0	4587	HPV16REF|lcl|Human	HPV:3889-569(+)	.	1	EXTRA
E28_RAND66_B	chr3	46492371	134237	5974	HPV16REF|lcl|Human	HPV:450-3051,2351-5722(-)	.	1	RAND66
E29_RAND54_A	chr3	16842742	0	4587	HPV16REF|lcl|Human	HPV:7706-4386(+)	.	1	RAND54
E30_RAND53_B	chr3	7420804	134237	5974	HPV16REF|lcl|Human	HPV:6733-1428,42-3413(-)	.	1	RAND53
E31_RAND80_A	chr4	173084848	0	4587	HPV16REF|lcl|Human	HPV:5553-2233(+)	.	1	RAND80
E32_RAND50_B	chr4	167562060	134237	5974	HPV16REF|lcl|Human	HPV:4309-6910,1367-4738(-)	.	1	RAND50
E33_EXTRA_A	chr4	147855664	0	4587	HPV16REF|lcl|Human	HPV:4410-1090(+)	.	1	EXTRA
E34_EXTRA_B	chr4	103351588	134237	5974	HPV16REF|lcl|Human	HPV:6282-977,6663-2128(-)	.	1	EXTRA
E35_RAND84_A	chr4	102926412	0	4587	HPV16REF|lcl|Human	HPV:2092-6678(+)	.	1	RAND84
E36_RAND76_B	chr4	99404673	134237	5974	HPV16REF|lcl|Human	HPV:3734-6335,5937-1402(-)	.	1	RAND76
E37_RAND65_A	chr4	65176773	0	4587	HPV16REF|lcl|Human	HPV:545-5131(+)	.	1	RAND65
E38_RAND94_B	chr4	20172469	134237	5974	HPV16REF|lcl|Human	HPV:6299-994,4626-91(-)	.	1	RAND94
E39_RAND79_A	chr4	3117489	0	4587	HPV16REF|lcl|Human	HPV:3945-625(+)	.	1	RAND79
E40_RAND64_B	chr5	166587558	134237	5974	HPV16REF|lcl|Human	HPV:6132-827,4381-7752(-)	.	1	RAND64
E41_RAND56_A	chr5	163616290	0	4587	HPV16REF|lcl|Human	HPV:7560-4240(+)	.	1	RAND56
E42_EXTRA_B	chr5	124471917	134237	5974	HPV16REF|lcl|Human	HPV:7589-2284,363-3734(-)	.	1	EXTRA
E43_RAND92_A	chr5	40976082	0	4587	HPV16REF|lcl|Human	HPV:5427-2107(+)	.	1	RAND92
E44_RAND89_B	chr6	139014012	134237	5974	HPV16REF|lcl|Human	HPV:5924-619,81-3452(-)	.	1	RAND89
E45_RAND62_A	chr6	117903694	0	4587	HPV16REF|lcl|Human	HPV:6523-3203(+)	.	1	RAND62
E46_EXTRA_B	chr6	79484344	134237	5974	HPV16REF|lcl|Human	HPV:6873-1568,65-3436(-)	.	1	EXTRA
E47_EXTRA_A	chr6	37175775	0	4587	HPV16REF|lcl|Human	HPV:2388-6974(+)	.	1	EXTRA
E48_RAND85_B	chr6	8122507	134237	5974	HPV16REF|lcl|Human	HPV:4641-7242,5433-898(-)	.	1	RAND85
E49_EXTRA_A	chr7	83120494	0	4587	HPV16REF|lcl|Human	HPV:4688-1368(+)	.	1	EXTRA
E50_EXTRA_B	chr8	122107037	134237	5974	HPV16REF|lcl|Human	HPV:618-3219,3705-7076(-)	.	1	EXTRA
E51_RAND67_A	chr8	91376614	0	4587	HPV16REF|lcl|Human	HPV:763-5349(+)	.	1	RAND67
E52_RAND97_B	chr8	53747421	134237	5974	HPV16REF|lcl|Human	HPV:6591-1286,5317-782(-)	.	1	RAND97
E53_EXTRA_A	chr8	52372259	0	4587	HPV16REF|lcl|Human	HPV:6339-3019(+)	.	1	EXTRA
E54_EXTRA_B	chr8	33292629	134237	5974	HPV16REF|lcl|Human	HPV:4976-7577,6198-1663(-)	.	1	EXTRA
E55_RAND87_A	chr8	8775954	0	4587	HPV16REF|lcl|Human	HPV:4050-730(+)	.	1	RAND87
E56_EXTRA_B	chr9	128338917	134237	5974	HPV16REF|lcl|Human	HPV:5836-531,5815-1280(-)	.	1	EXTRA
E57_EXTRA_A	chr9	116921587	0	4587	HPV16REF|lcl|Human	HPV:5390-2070(+)	.	1	EXTRA
