event_id	chrom	host_pos	del_len	ins_len	hpv_ref	hpv_path	hpv_strand	copies	source
E1_RAND60_A	chr1	236888126	0	4587	HPV16REF|lcl|Human	HPV:7255-3935(+)	.	1	RAND60
E2_Dup_B	chr1	234783386	134237	5974	HPV16REF|lcl|Human	HPV:5653-348,349-3720(-)	.	1	Dup
E3_RAND54_A	chr1	228366844	0	4587	HPV16REF|lcl|Human	HPV:2873-7459(+)	.	1	RAND54
E4_RAND41_B	chr1	222203213	134237	5974	HPV16REF|lcl|Human	HPV:4438-7039,7040-2505(-)	.	1	RAND41
E5_RAND57_A	chr1	197773456	0	4587	HPV16REF|lcl|Human	HPV:1974-6560(+)	.	1	RAND57
E6_RAND63_B	chr1	182939799	134237	5974	HPV16REF|lcl|Human	HPV:3072-5673,5674-1139(-)	.	1	RAND63
E7_RAND90_A	chr1	161136902	0	4587	HPV16REF|lcl|Human	HPV:2357-6943(+)	.	1	RAND90
E8_RAND84_B	chr1	147535266	134237	5974	HPV16REF|lcl|Human	HPV:4949-7550,7551-3016(-)	.	1	RAND84
E9_RAND42_A	chr1	108590669	0	4587	HPV16REF|lcl|Human	HPV:3448-128(+)	.	1	RAND42
E10_RAND88_B	chr1	83191505	134237	5974	HPV16REF|lcl|Human	HPV:3860-6461,6462-1927(-)	.	1	RAND88
E11_RAND83_A	chr1	65688500	0	4587	HPV16REF|lcl|Human	HPV:2312-6898(+)	.	1	RAND83
E12_RAND37_B	chr1	51620556	134237	5974	HPV16REF|lcl|Human	HPV:3822-6423,6424-1889(-)	.	1	RAND37
E13_LINE_A	chr1	16783209	0	4587	HPV16REF|lcl|Human	HPV:1094-5680(+)	.	1	LINE
E14_RAND39_B	chr2	215331128	134237	5974	HPV16REF|lcl|Human	HPV:4055-6656,6657-2122(-)	.	1	RAND39
E15_RAND70_A	chr2	182490861	0	4587	HPV16REF|lcl|Human	HPV:7662-4342(+)	.	1	RAND70
E16_RAND58_B	chr2	167562060	134237	5974	HPV16REF|lcl|Human	HPV:4641-7242,7243-2708(-)	.	1	RAND58
E17_LINE_A	chr2	151136063	0	4587	HPV16REF|lcl|Human	HPV:768-5354(+)	.	1	LINE
