event_id	chrom	host_pos	del_len	ins_len	hpv_ref	hpv_path	hpv_strand	copies	source
E1_RAND61_A	chr1	236888126	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND61
E2_Dup_B	chr1	234783386	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	Dup
E3_RAND55_A	chr1	228366844	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND55
E4_RAND58_B	chr1	197773456	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND58
E5_RAND64_A	chr1	182939799	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND64
E6_RAND91_B	chr1	161136902	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND91
E7_RAND34_A	chr1	155043621	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND34
E8_RAND85_B	chr1	147535266	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND85
E9_RAND89_A	chr1	83191505	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND89
E10_RAND84_B	chr1	65688500	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND84
E11_RAND40_A	chr1	51620556	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND40
E12_LINE_B	chr1	16783209	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	LINE
E13_RAND100_A	chr2	240981469	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND100
E14_RAND42_B	chr2	215331128	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND42
E15_RAND71_A	chr2	182490861	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND71
E16_RAND96_B	chr2	173084848	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND96
E17_RAND35_A	chr2	170224731	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND35
E18_RAND59_B	chr2	167562060	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND59
E19_LINE_A	chr2	151136063	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	LINE
E20_RAND41_B	chr2	147610943	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND41
E21_RAND90_A	chr2	99404673	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND90
E22_RAND67_B	chr2	82017057	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND67
E23_EXTRA_A	chr2	32916236	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	EXTRA
E24_RAND62_B	chr2	7420804	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND62
E25_RAND95_A	chr2	3117489	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND95
E26_SINE_B	chr3	189879690	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	SINE
E27_RAND72_A	chr3	157905982	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	RAND72
E28_RAND74_B	chr3	146232557	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND74
E29_EXTRA_A	chr3	141401612	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	EXTRA
E30_EXTRA_B	chr3	93470597	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	EXTRA
E31_LINE_A	chr3	82226566	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	LINE
E32_LINE_B	chr3	81992132	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	LINE
E33_EXTRA_A	chr3	81785783	0	4587	HPV16REF|lcl|Human	HPV:1706-6292(+)	.	1	EXTRA
E34_RAND52_B	chr3	76730725	134237	5974	HPV16REF|lcl|Human	HPV:5305-7906,1-3372(-)	.	1	RAND52
