chrom1	start1	end1	chrom2	start2	end2	name	score	strand1	strand2
chr1	236888126	236888127	HPV16REF|lcl|Human	1	2	E1_RAND85_E	.	+	.
chr1	234783386	234783387	HPV16REF|lcl|Human	1	2	E2_Dup_F	.	+	.
chr1	228366844	228366845	HPV16REF|lcl|Human	1	2	E3_RAND79_UD2	.	+	.
chr1	222203213	222203214	HPV16REF|lcl|Human	1	2	E4_RAND66_E	.	+	.
chr1	197773456	197773457	HPV16REF|lcl|Human	1	2	E5_RAND82_F	.	+	.
chr1	182939799	182939800	HPV16REF|lcl|Human	1	2	E6_RAND88_UD2	.	+	.
chr1	108590669	108590670	HPV16REF|lcl|Human	1	2	E7_RAND67_E	.	+	.
chr1	51620556	51620557	HPV16REF|lcl|Human	1	2	E8_RAND62_F	.	+	.
chr1	16783209	16783210	HPV16REF|lcl|Human	1	2	E9_LINE_UD2	.	+	.
chr2	215331128	215331129	HPV16REF|lcl|Human	1	2	E10_RAND64_E	.	+	.
chr2	182490861	182490862	HPV16REF|lcl|Human	1	2	E11_RAND95_F	.	+	.
chr2	167562060	167562061	HPV16REF|lcl|Human	1	2	E12_RAND83_UD2	.	+	.
chr2	151136063	151136064	HPV16REF|lcl|Human	1	2	E13_LINE_E	.	+	.
chr2	147610943	147610944	HPV16REF|lcl|Human	1	2	E14_RAND63_F	.	+	.
chr2	82017057	82017058	HPV16REF|lcl|Human	1	2	E15_RAND91_UD2	.	+	.
chr2	32916236	32916237	HPV16REF|lcl|Human	1	2	E16_EXTRA_E	.	+	.
chr2	7420804	7420805	HPV16REF|lcl|Human	1	2	E17_RAND86_F	.	+	.
chr3	189895061	189895062	HPV16REF|lcl|Human	1	2	E18_EXTRA_UD2	.	+	.
chr3	189889702	189889703	HPV16REF|lcl|Human	1	2	E19_EXTRA_E	.	+	.
chr3	189879690	189879691	HPV16REF|lcl|Human	1	2	E20_SINE_F	.	+	.
chr3	157905982	157905983	HPV16REF|lcl|Human	1	2	E21_RAND96_UD2	.	+	.
chr3	146232557	146232558	HPV16REF|lcl|Human	1	2	E22_RAND98_E	.	+	.
chr3	141401612	141401613	HPV16REF|lcl|Human	1	2	E23_EXTRA_F	.	+	.
chr3	93470597	93470598	HPV16REF|lcl|Human	1	2	E24_EXTRA_UD2	.	+	.
chr3	82226566	82226567	HPV16REF|lcl|Human	1	2	E25_LINE_E	.	+	.
chr3	81992132	81992133	HPV16REF|lcl|Human	1	2	E26_LINE_F	.	+	.
chr3	81785783	81785784	HPV16REF|lcl|Human	1	2	E27_EXTRA_UD2	.	+	.
chr3	76730725	76730726	HPV16REF|lcl|Human	1	2	E28_RAND76_E	.	+	.
chr3	74883226	74883227	HPV16REF|lcl|Human	1	2	E29_RAND99_F	.	+	.
chr4	159267478	159267479	HPV16REF|lcl|Human	1	2	E30_RAND97_UD2	.	+	.
chr4	150985189	150985190	HPV16REF|lcl|Human	1	2	E31_RAND72_E	.	+	.
chr4	146414343	146414344	HPV16REF|lcl|Human	1	2	E32_RAND53_F	.	+	.
chr4	117620861	117620862	HPV16REF|lcl|Human	1	2	E33_RAND48_UD2	.	+	.
chr4	103351588	103351589	HPV16REF|lcl|Human	1	2	E34_lowgc_E	.	+	.
chr4	58928008	58928009	HPV16REF|lcl|Human	1	2	E35_RAND89_F	.	+	.
chr6	156364826	156364827	HPV16REF|lcl|Human	1	2	E36_RAND49_UD2	.	+	.
chr6	136676543	136676544	HPV16REF|lcl|Human	1	2	E37_RAND51_E	.	+	.
chr6	93381568	93381569	HPV16REF|lcl|Human	1	2	E38_RAND59_F	.	+	.
chr6	79484344	79484345	HPV16REF|lcl|Human	1	2	E39_SINE_UD2	.	+	.
chr6	37176440	37176441	HPV16REF|lcl|Human	1	2	E40_SINE_E	.	+	.
chr6	37175775	37175776	HPV16REF|lcl|Human	1	2	E41_EXTRA_F	.	+	.
chr6	37167442	37167443	HPV16REF|lcl|Human	1	2	E42_SINE_UD2	.	+	.
chr6	37161250	37161251	HPV16REF|lcl|Human	1	2	E43_EXTRA_E	.	+	.
chr6	36910796	36910797	HPV16REF|lcl|Human	1	2	E44_SINE_F	.	+	.
chr6	14355044	14355045	HPV16REF|lcl|Human	1	2	E45_RAND100_UD2	.	+	.
chr7	124268593	124268594	HPV16REF|lcl|Human	1	2	E46_RAND81_E	.	+	.
chr7	90550926	90550927	HPV16REF|lcl|Human	1	2	E47_RAND68_F	.	+	.
chr7	83120494	83120495	HPV16REF|lcl|Human	1	2	E48_LINE_UD2	.	+	.
chr7	54641620	54641621	HPV16REF|lcl|Human	1	2	E49_RAND84_E	.	+	.
chr7	25425205	25425206	HPV16REF|lcl|Human	1	2	E50_RAND74_F	.	+	.
