chrom1	start1	end1	chrom2	start2	end2	name	score	strand1	strand2
chr1	236888126	236888127	HPV16REF|lcl|Human	1	2	E1_RAND61_A	.	+	.
chr1	234783386	234783387	HPV16REF|lcl|Human	1	2	E2_Dup_B	.	+	.
chr1	228366844	228366845	HPV16REF|lcl|Human	1	2	E3_RAND55_A	.	+	.
chr1	197773456	197773457	HPV16REF|lcl|Human	1	2	E4_RAND58_B	.	+	.
chr1	182939799	182939800	HPV16REF|lcl|Human	1	2	E5_RAND64_A	.	+	.
chr1	161136902	161136903	HPV16REF|lcl|Human	1	2	E6_RAND91_B	.	+	.
chr1	155043621	155043622	HPV16REF|lcl|Human	1	2	E7_RAND34_A	.	+	.
chr1	147535266	147535267	HPV16REF|lcl|Human	1	2	E8_RAND85_B	.	+	.
chr1	83191505	83191506	HPV16REF|lcl|Human	1	2	E9_RAND89_A	.	+	.
chr1	65688500	65688501	HPV16REF|lcl|Human	1	2	E10_RAND84_B	.	+	.
chr1	51620556	51620557	HPV16REF|lcl|Human	1	2	E11_RAND40_A	.	+	.
chr1	16783209	16783210	HPV16REF|lcl|Human	1	2	E12_LINE_B	.	+	.
chr2	240981469	240981470	HPV16REF|lcl|Human	1	2	E13_RAND100_A	.	+	.
chr2	215331128	215331129	HPV16REF|lcl|Human	1	2	E14_RAND42_B	.	+	.
chr2	182490861	182490862	HPV16REF|lcl|Human	1	2	E15_RAND71_A	.	+	.
chr2	173084848	173084849	HPV16REF|lcl|Human	1	2	E16_RAND96_B	.	+	.
chr2	170224731	170224732	HPV16REF|lcl|Human	1	2	E17_RAND35_A	.	+	.
chr2	167562060	167562061	HPV16REF|lcl|Human	1	2	E18_RAND59_B	.	+	.
chr2	151136063	151136064	HPV16REF|lcl|Human	1	2	E19_LINE_A	.	+	.
chr2	147610943	147610944	HPV16REF|lcl|Human	1	2	E20_RAND41_B	.	+	.
chr2	99404673	99404674	HPV16REF|lcl|Human	1	2	E21_RAND90_A	.	+	.
chr2	82017057	82017058	HPV16REF|lcl|Human	1	2	E22_RAND67_B	.	+	.
chr2	32916236	32916237	HPV16REF|lcl|Human	1	2	E23_EXTRA_A	.	+	.
chr2	7420804	7420805	HPV16REF|lcl|Human	1	2	E24_RAND62_B	.	+	.
chr2	3117489	3117490	HPV16REF|lcl|Human	1	2	E25_RAND95_A	.	+	.
chr3	189879690	189879691	HPV16REF|lcl|Human	1	2	E26_SINE_B	.	+	.
chr3	157905982	157905983	HPV16REF|lcl|Human	1	2	E27_RAND72_A	.	+	.
chr3	146232557	146232558	HPV16REF|lcl|Human	1	2	E28_RAND74_B	.	+	.
chr3	141401612	141401613	HPV16REF|lcl|Human	1	2	E29_EXTRA_A	.	+	.
chr3	93470597	93470598	HPV16REF|lcl|Human	1	2	E30_EXTRA_B	.	+	.
chr3	82226566	82226567	HPV16REF|lcl|Human	1	2	E31_LINE_A	.	+	.
chr3	81992132	81992133	HPV16REF|lcl|Human	1	2	E32_LINE_B	.	+	.
chr3	81785783	81785784	HPV16REF|lcl|Human	1	2	E33_EXTRA_A	.	+	.
chr3	76730725	76730726	HPV16REF|lcl|Human	1	2	E34_RAND52_B	.	+	.
chr3	74883226	74883227	HPV16REF|lcl|Human	1	2	E35_RAND75_A	.	+	.
chr3	66334635	66334636	HPV16REF|lcl|Human	1	2	E36_RAND25_B	.	+	.
chr3	65011016	65011017	HPV16REF|lcl|Human	1	2	E37_RAND77_A	.	+	.
chr3	31906110	31906111	HPV16REF|lcl|Human	1	2	E38_RAND80_B	.	+	.
chr3	18635620	18635621	HPV16REF|lcl|Human	1	2	E39_RAND43_A	.	+	.
chr4	159267478	159267479	HPV16REF|lcl|Human	1	2	E40_RAND73_B	.	+	.
chr4	155307737	155307738	HPV16REF|lcl|Human	1	2	E41_RAND46_A	.	+	.
chr4	149497876	149497877	HPV16REF|lcl|Human	1	2	E42_RAND45_B	.	+	.
chr4	117620861	117620862	HPV16REF|lcl|Human	1	2	E43_RAND27_A	.	+	.
chr4	103351588	103351589	HPV16REF|lcl|Human	1	2	E44_lowgc_B	.	+	.
chr4	91376614	91376615	HPV16REF|lcl|Human	1	2	E45_RAND82_A	.	+	.
chr4	58928008	58928009	HPV16REF|lcl|Human	1	2	E46_RAND65_B	.	+	.
chr6	156364826	156364827	HPV16REF|lcl|Human	1	2	E47_RAND28_A	.	+	.
chr6	131082807	131082808	HPV16REF|lcl|Human	1	2	E48_RAND83_B	.	+	.
chr6	104269538	104269539	HPV16REF|lcl|Human	1	2	E49_RAND31_A	.	+	.
chr6	93381568	93381569	HPV16REF|lcl|Human	1	2	E50_RAND37_B	.	+	.
chr6	88207763	88207764	HPV16REF|lcl|Human	1	2	E51_RAND47_A	.	+	.
chr6	79484344	79484345	HPV16REF|lcl|Human	1	2	E52_SINE_B	.	+	.
chr6	37176440	37176441	HPV16REF|lcl|Human	1	2	E53_SINE_A	.	+	.
chr6	36910796	36910797	HPV16REF|lcl|Human	1	2	E54_SINE_B	.	+	.
chr6	14355044	14355045	HPV16REF|lcl|Human	1	2	E55_RAND76_A	.	+	.
chr7	157309408	157309409	HPV16REF|lcl|Human	1	2	E56_RAND30_B	.	+	.
chr7	130770202	130770203	HPV16REF|lcl|Human	1	2	E57_RAND29_A	.	+	.
chr7	124268593	124268594	HPV16REF|lcl|Human	1	2	E58_RAND57_B	.	+	.
chr7	83120494	83120495	HPV16REF|lcl|Human	1	2	E59_LINE_A	.	+	.
chr7	54641620	54641621	HPV16REF|lcl|Human	1	2	E60_RAND60_B	.	+	.
chr7	44888657	44888658	HPV16REF|lcl|Human	1	2	E61_RAND79_A	.	+	.
chr7	25425205	25425206	HPV16REF|lcl|Human	1	2	E62_RAND50_B	.	+	.
chr7	20495736	20495737	HPV16REF|lcl|Human	1	2	E63_RAND53_A	.	+	.
chr7	8531584	8531585	HPV16REF|lcl|Human	1	2	E64_RAND99_B	.	+	.
chr7	2208853	2208854	HPV16REF|lcl|Human	1	2	E65_RAND32_A	.	+	.
chr9	134177454	134177455	HPV16REF|lcl|Human	1	2	E66_RAND78_B	.	+	.
chr9	130279742	130279743	HPV16REF|lcl|Human	1	2	E67_RAND49_A	.	+	.
chr9	123527721	123527722	HPV16REF|lcl|Human	1	2	E68_RAND98_B	.	+	.
chr9	116921587	116921588	HPV16REF|lcl|Human	1	2	E69_SINE_A	.	+	.
chr9	103450142	103450143	HPV16REF|lcl|Human	1	2	E70_RAND70_B	.	+	.
chr9	99956760	99956761	HPV16REF|lcl|Human	1	2	E71_lowgc_A	.	+	.
chr9	97952091	97952092	HPV16REF|lcl|Human	1	2	E72_LINE_B	.	+	.
chr9	97813335	97813336	HPV16REF|lcl|Human	1	2	E73_LINE_A	.	+	.
chr9	51722651	51722652	HPV16REF|lcl|Human	1	2	E74_RAND69_B	.	+	.
chr9	26645008	26645009	HPV16REF|lcl|Human	1	2	E75_LINE_A	.	+	.
chr9	22301659	22301660	HPV16REF|lcl|Human	1	2	E76_RAND86_B	.	+	.
chr9	2553267	2553268	HPV16REF|lcl|Human	1	2	E77_RAND36_A	.	+	.
chr9	1300977	1300978	HPV16REF|lcl|Human	1	2	E78_RAND88_B	.	+	.
chr11	134933109	134933110	HPV16REF|lcl|Human	1	2	E79_RAND87_A	.	+	.
chr11	131789342	131789343	HPV16REF|lcl|Human	1	2	E80_LINE_B	.	+	.
chr11	125986603	125986604	HPV16REF|lcl|Human	1	2	E81_RAND26_A	.	+	.
chr11	67955744	67955745	HPV16REF|lcl|Human	1	2	E82_RAND33_B	.	+	.
chr11	7531898	7531899	HPV16REF|lcl|Human	1	2	E83_RAND94_A	.	+	.
chr12	81808145	81808146	HPV16REF|lcl|Human	1	2	E84_RAND66_B	.	+	.
chr12	66057682	66057683	HPV16REF|lcl|Human	1	2	E85_SINE_A	.	+	.
chr17	74543200	74543201	HPV16REF|lcl|Human	1	2	E86_RAND68_B	.	+	.
chr17	72761897	72761898	HPV16REF|lcl|Human	1	2	E87_RAND97_A	.	+	.
chr17	55999730	55999731	HPV16REF|lcl|Human	1	2	E88_RAND93_B	.	+	.
chr17	41270854	41270855	HPV16REF|lcl|Human	1	2	E89_RAND56_A	.	+	.
chr17	22296711	22296712	HPV16REF|lcl|Human	1	2	E90_RAND24_B	.	+	.
chr17	21380272	21380273	HPV16REF|lcl|Human	1	2	E91_RAND39_A	.	+	.
chr18	75492595	75492596	HPV16REF|lcl|Human	1	2	E92_RAND48_B	.	+	.
chr18	72524587	72524588	HPV16REF|lcl|Human	1	2	E93_RAND54_A	.	+	.
chr18	50983320	50983321	HPV16REF|lcl|Human	1	2	E94_RAND38_B	.	+	.
chr18	23246186	23246187	HPV16REF|lcl|Human	1	2	E95_RAND81_A	.	+	.
chr18	22565190	22565191	HPV16REF|lcl|Human	1	2	E96_LINE_B	.	+	.
chr18	19014455	19014456	HPV16REF|lcl|Human	1	2	E97_RAND63_A	.	+	.
chr18	17566176	17566177	HPV16REF|lcl|Human	1	2	E98_RAND51_B	.	+	.
chr18	3751553	3751554	HPV16REF|lcl|Human	1	2	E99_RAND44_A	.	+	.
chr18	2156322	2156323	HPV16REF|lcl|Human	1	2	E100_RAND92_B	.	+	.
