event_id	chrom	host_pos	del_len	ins_len	hpv_ref	hpv_path	hpv_strand	copies	source
E1_EXTRA_E	chr1	125976080	0	26016	HPV16REF|lcl|Human	HPV:5366-7339(+)+chr1:125969560-125975080(+)+HPV:500-2427,1867-6438(+)+chr1:125969560-125975080(+)+HPV:7491-1512,2784-7355(+)	.	1	EXTRA
E2_EXTRA_F	chr1	22412818	651	11405	HPV16REF|lcl|Human	HPV:4827-727,1379-4950(-)+LIT:5+HPV:1199-3105,7261-1468(+)	.	1	EXTRA
E3_EXTRA_UD2	chr1	18033714	0	85842	HPV16REF|lcl|Human	HPV:5340-539(+)+chr1:18021697-18032714(+)+HPV:6887-7069(+)+HPV:822-3927(+)+chr1:18021697-18032714(+)+HPV:403-585(+)+HPV:586-3691(+)+chr1:18021697-18032714(+)+HPV:6278-6460(+)+HPV:4329-7434(+)+chr1:18021697-18032714(+)+HPV:336-518(+)+HPV:7788-2987(+)+chr1:18021697-18032714(+)+HPV:4860-5042(+)+HPV:7891-3090(+)+chr1:18021697-18032714(+)+HPV:282-464(+)	.	1	EXTRA
E4_EXTRA_E	chr1	16783209	0	26016	HPV16REF|lcl|Human	HPV:5047-7020(+)+chr1:16776689-16782209(+)+HPV:7257-1278,2007-6578(+)+chr1:16776689-16782209(+)+HPV:7327-1348,374-4945(+)	.	1	EXTRA
E5_EXTRA_F	chr1	13390569	651	11405	HPV16REF|lcl|Human	HPV:6506-2406,55-3626(-)+LIT:5+HPV:5463-7369,95-2208(+)	.	1	EXTRA
E6_EXTRA_UD2	chr1	13382314	0	85842	HPV16REF|lcl|Human	HPV:40-3145(+)+chr1:13370297-13381314(+)+HPV:5504-5686(+)+HPV:4809-8(+)+chr1:13370297-13381314(+)+HPV:5313-5495(+)+HPV:4255-7360(+)+chr1:13370297-13381314(+)+HPV:108-290(+)+HPV:7057-2256(+)+chr1:13370297-13381314(+)+HPV:7020-7202(+)+HPV:670-3775(+)+chr1:13370297-13381314(+)+HPV:3499-3681(+)+HPV:103-3208(+)+chr1:13370297-13381314(+)+HPV:2775-2957(+)	.	1	EXTRA
E7_EXTRA_E	chr1	13373838	0	26016	HPV16REF|lcl|Human	HPV:4170-6143(+)+chr1:13367318-13372838(+)+HPV:6234-255,5795-2460(+)+chr1:13367318-13372838(+)+HPV:1030-2957,4645-1310(+)	.	1	EXTRA
E8_EXTRA_F	chr1	13370676	651	11405	HPV16REF|lcl|Human	HPV:436-4242,5515-1180(-)+LIT:5+HPV:420-2326,780-2893(+)	.	1	EXTRA
E9_EXTRA_UD2	chr1	13226313	0	85842	HPV16REF|lcl|Human	HPV:7385-2584(+)+chr1:13214296-13225313(+)+HPV:6922-7104(+)+HPV:5132-331(+)+chr1:13214296-13225313(+)+HPV:195-377(+)+HPV:2732-5837(+)+chr1:13214296-13225313(+)+HPV:172-354(+)+HPV:6045-1244(+)+chr1:13214296-13225313(+)+HPV:244-426(+)+HPV:197-3302(+)+chr1:13214296-13225313(+)+HPV:6321-6503(+)+HPV:5337-536(+)+chr1:13214296-13225313(+)+HPV:340-522(+)	.	1	EXTRA
E10_EXTRA_E	chr1	11651759	0	26016	HPV16REF|lcl|Human	HPV:4183-6156(+)+chr1:11645239-11650759(+)+HPV:4139-6066,6431-3096(+)+chr1:11645239-11650759(+)+HPV:4269-6196,722-5293(+)	.	1	EXTRA
E11_EXTRA_F	chr2	239803038	651	11405	HPV16REF|lcl|Human	HPV:5299-1199,7633-3298(-)+LIT:5+HPV:794-2700,37-2150(+)	.	1	EXTRA
