chrom1	start1	end1	chrom2	start2	end2	name	score	strand1	strand2
chr1	242656319	242656320	HPV16REF|lcl|Human	1	2	E1_RAND84_C	.	+	.
chr1	207329570	207329571	HPV16REF|lcl|Human	1	2	E2_RAND88_D	.	+	.
chr1	147535266	147535267	HPV16REF|lcl|Human	1	2	E3_RAND80_C	.	+	.
chr1	93347171	93347172	HPV16REF|lcl|Human	1	2	E4_RAND97_D	.	+	.
chr1	83191505	83191506	HPV16REF|lcl|Human	1	2	E5_RAND85_C	.	+	.
chr1	72495799	72495800	HPV16REF|lcl|Human	1	2	E6_RAND72_D	.	+	.
chr1	22412818	22412819	HPV16REF|lcl|Human	1	2	E7_EXTRA_C	.	+	.
chr1	18033714	18033715	HPV16REF|lcl|Human	1	2	E8_EXTRA_D	.	+	.
chr1	13373838	13373839	HPV16REF|lcl|Human	1	2	E9_EXTRA_C	.	+	.
chr1	13226313	13226314	HPV16REF|lcl|Human	1	2	E10_EXTRA_D	.	+	.
chr1	11651759	11651760	HPV16REF|lcl|Human	1	2	E11_EXTRA_C	.	+	.
chr1	4902915	4902916	HPV16REF|lcl|Human	1	2	E12_RAND94_D	.	+	.
chr2	239803038	239803039	HPV16REF|lcl|Human	1	2	E13_EXTRA_C	.	+	.
chr2	236888126	236888127	HPV16REF|lcl|Human	1	2	E14_RAND60_D	.	+	.
chr2	197773456	197773457	HPV16REF|lcl|Human	1	2	E15_RAND57_C	.	+	.
chr2	161136902	161136903	HPV16REF|lcl|Human	1	2	E16_RAND87_D	.	+	.
chr2	151136063	151136064	HPV16REF|lcl|Human	1	2	E17_EXTRA_C	.	+	.
chr2	100978863	100978864	HPV16REF|lcl|Human	1	2	E18_EXTRA_D	.	+	.
chr2	65688500	65688501	HPV16REF|lcl|Human	1	2	E19_RAND79_C	.	+	.
chr3	189879690	189879691	HPV16REF|lcl|Human	1	2	E20_EXTRA_D	.	+	.
chr3	163137594	163137595	HPV16REF|lcl|Human	1	2	E21_EXTRA_C	.	+	.
chr3	146257083	146257084	HPV16REF|lcl|Human	1	2	E22_EXTRA_D	.	+	.
chr3	141401612	141401613	HPV16REF|lcl|Human	1	2	E23_EXTRA_C	.	+	.
chr3	82226566	82226567	HPV16REF|lcl|Human	1	2	E24_EXTRA_D	.	+	.
chr3	81992132	81992133	HPV16REF|lcl|Human	1	2	E25_EXTRA_C	.	+	.
chr3	81785783	81785784	HPV16REF|lcl|Human	1	2	E26_EXTRA_D	.	+	.
chr3	51527285	51527286	HPV16REF|lcl|Human	1	2	E27_EXTRA_C	.	+	.
chr3	46492371	46492372	HPV16REF|lcl|Human	1	2	E28_RAND76_D	.	+	.
chr3	16842742	16842743	HPV16REF|lcl|Human	1	2	E29_RAND62_C	.	+	.
