chrom1	start1	end1	chrom2	start2	end2	name	score	strand1	strand2
chr1	236888126	236888127	HPV16REF|lcl|Human	1	2	E1_RAND64_C	.	+	.
chr1	234783386	234783387	HPV16REF|lcl|Human	1	2	E2_Dup_D	.	+	.
chr1	228366844	228366845	HPV16REF|lcl|Human	1	2	E3_RAND58_C	.	+	.
chr1	197773456	197773457	HPV16REF|lcl|Human	1	2	E4_RAND61_D	.	+	.
chr1	182939799	182939800	HPV16REF|lcl|Human	1	2	E5_RAND67_C	.	+	.
chr1	161136902	161136903	HPV16REF|lcl|Human	1	2	E6_RAND94_D	.	+	.
chr1	155252875	155252876	HPV16REF|lcl|Human	1	2	E7_RAND49_C	.	+	.
chr1	155043621	155043622	HPV16REF|lcl|Human	1	2	E8_RAND36_D	.	+	.
chr1	147535266	147535267	HPV16REF|lcl|Human	1	2	E9_RAND88_C	.	+	.
chr1	83191505	83191506	HPV16REF|lcl|Human	1	2	E10_RAND92_D	.	+	.
chr1	65688500	65688501	HPV16REF|lcl|Human	1	2	E11_RAND87_C	.	+	.
chr1	51620556	51620557	HPV16REF|lcl|Human	1	2	E12_RAND42_D	.	+	.
chr1	16783209	16783210	HPV16REF|lcl|Human	1	2	E13_LINE_C	.	+	.
chr2	215331128	215331129	HPV16REF|lcl|Human	1	2	E14_RAND44_D	.	+	.
chr2	182490861	182490862	HPV16REF|lcl|Human	1	2	E15_RAND74_C	.	+	.
chr2	173084848	173084849	HPV16REF|lcl|Human	1	2	E16_RAND99_D	.	+	.
chr2	170224731	170224732	HPV16REF|lcl|Human	1	2	E17_RAND37_C	.	+	.
chr2	167562060	167562061	HPV16REF|lcl|Human	1	2	E18_RAND62_D	.	+	.
chr2	151136063	151136064	HPV16REF|lcl|Human	1	2	E19_LINE_C	.	+	.
chr2	147610943	147610944	HPV16REF|lcl|Human	1	2	E20_RAND43_D	.	+	.
chr2	99404673	99404674	HPV16REF|lcl|Human	1	2	E21_RAND93_C	.	+	.
chr2	82017057	82017058	HPV16REF|lcl|Human	1	2	E22_RAND70_D	.	+	.
chr2	32916236	32916237	HPV16REF|lcl|Human	1	2	E23_EXTRA_C	.	+	.
chr2	7420804	7420805	HPV16REF|lcl|Human	1	2	E24_RAND65_D	.	+	.
chr2	3117489	3117490	HPV16REF|lcl|Human	1	2	E25_RAND98_C	.	+	.
chr3	189879690	189879691	HPV16REF|lcl|Human	1	2	E26_SINE_D	.	+	.
chr3	157905982	157905983	HPV16REF|lcl|Human	1	2	E27_RAND75_C	.	+	.
chr3	146232557	146232558	HPV16REF|lcl|Human	1	2	E28_RAND77_D	.	+	.
chr3	141401612	141401613	HPV16REF|lcl|Human	1	2	E29_EXTRA_C	.	+	.
chr3	93470597	93470598	HPV16REF|lcl|Human	1	2	E30_EXTRA_D	.	+	.
chr3	82226566	82226567	HPV16REF|lcl|Human	1	2	E31_LINE_C	.	+	.
chr3	81992132	81992133	HPV16REF|lcl|Human	1	2	E32_LINE_D	.	+	.
chr3	81785783	81785784	HPV16REF|lcl|Human	1	2	E33_EXTRA_C	.	+	.
chr3	76730725	76730726	HPV16REF|lcl|Human	1	2	E34_RAND55_D	.	+	.
chr3	74883226	74883227	HPV16REF|lcl|Human	1	2	E35_RAND78_C	.	+	.
chr3	66334635	66334636	HPV16REF|lcl|Human	1	2	E36_RAND27_D	.	+	.
chr3	65011016	65011017	HPV16REF|lcl|Human	1	2	E37_RAND80_C	.	+	.
chr3	31906110	31906111	HPV16REF|lcl|Human	1	2	E38_RAND83_D	.	+	.
chr3	18635620	18635621	HPV16REF|lcl|Human	1	2	E39_RAND45_C	.	+	.
chr4	159267478	159267479	HPV16REF|lcl|Human	1	2	E40_RAND76_D	.	+	.
chr4	155307737	155307738	HPV16REF|lcl|Human	1	2	E41_RAND48_C	.	+	.
chr4	149497876	149497877	HPV16REF|lcl|Human	1	2	E42_RAND47_D	.	+	.
chr4	117620861	117620862	HPV16REF|lcl|Human	1	2	E43_RAND29_C	.	+	.
chr4	103351588	103351589	HPV16REF|lcl|Human	1	2	E44_lowgc_D	.	+	.
chr4	91376614	91376615	HPV16REF|lcl|Human	1	2	E45_RAND85_C	.	+	.
chr4	58928008	58928009	HPV16REF|lcl|Human	1	2	E46_RAND68_D	.	+	.
chr6	156364826	156364827	HPV16REF|lcl|Human	1	2	E47_RAND30_C	.	+	.
chr6	131082807	131082808	HPV16REF|lcl|Human	1	2	E48_RAND86_D	.	+	.
chr6	104269538	104269539	HPV16REF|lcl|Human	1	2	E49_RAND33_C	.	+	.
chr6	93381568	93381569	HPV16REF|lcl|Human	1	2	E50_RAND39_D	.	+	.
chr6	88207763	88207764	HPV16REF|lcl|Human	1	2	E51_RAND50_C	.	+	.
chr6	79484344	79484345	HPV16REF|lcl|Human	1	2	E52_SINE_D	.	+	.
chr6	37176440	37176441	HPV16REF|lcl|Human	1	2	E53_SINE_C	.	+	.
chr6	36910796	36910797	HPV16REF|lcl|Human	1	2	E54_SINE_D	.	+	.
chr6	14355044	14355045	HPV16REF|lcl|Human	1	2	E55_RAND79_C	.	+	.
chr7	157309408	157309409	HPV16REF|lcl|Human	1	2	E56_RAND32_D	.	+	.
chr7	130770202	130770203	HPV16REF|lcl|Human	1	2	E57_RAND31_C	.	+	.
chr7	124268593	124268594	HPV16REF|lcl|Human	1	2	E58_RAND60_D	.	+	.
chr7	83120494	83120495	HPV16REF|lcl|Human	1	2	E59_LINE_C	.	+	.
chr7	54641620	54641621	HPV16REF|lcl|Human	1	2	E60_RAND63_D	.	+	.
chr7	44888657	44888658	HPV16REF|lcl|Human	1	2	E61_RAND82_C	.	+	.
chr7	25425205	25425206	HPV16REF|lcl|Human	1	2	E62_RAND53_D	.	+	.
chr7	20495736	20495737	HPV16REF|lcl|Human	1	2	E63_RAND56_C	.	+	.
chr7	2208853	2208854	HPV16REF|lcl|Human	1	2	E64_RAND34_D	.	+	.
chr9	134177454	134177455	HPV16REF|lcl|Human	1	2	E65_RAND81_C	.	+	.
chr9	130279742	130279743	HPV16REF|lcl|Human	1	2	E66_RAND52_D	.	+	.
chr9	116921587	116921588	HPV16REF|lcl|Human	1	2	E67_SINE_C	.	+	.
chr9	103450142	103450143	HPV16REF|lcl|Human	1	2	E68_RAND73_D	.	+	.
chr9	99956760	99956761	HPV16REF|lcl|Human	1	2	E69_lowgc_C	.	+	.
chr9	97952091	97952092	HPV16REF|lcl|Human	1	2	E70_LINE_D	.	+	.
chr9	97902954	97902955	HPV16REF|lcl|Human	1	2	E71_LINE_C	.	+	.
chr9	97860564	97860565	HPV16REF|lcl|Human	1	2	E72_EXTRA_D	.	+	.
chr9	97813335	97813336	HPV16REF|lcl|Human	1	2	E73_LINE_C	.	+	.
chr9	51722651	51722652	HPV16REF|lcl|Human	1	2	E74_RAND72_D	.	+	.
chr9	26645008	26645009	HPV16REF|lcl|Human	1	2	E75_LINE_C	.	+	.
chr9	22301659	22301660	HPV16REF|lcl|Human	1	2	E76_RAND89_D	.	+	.
chr9	2553267	2553268	HPV16REF|lcl|Human	1	2	E77_RAND38_C	.	+	.
chr9	1300977	1300978	HPV16REF|lcl|Human	1	2	E78_RAND91_D	.	+	.
chr11	134933109	134933110	HPV16REF|lcl|Human	1	2	E79_RAND90_C	.	+	.
chr11	131789342	131789343	HPV16REF|lcl|Human	1	2	E80_LINE_D	.	+	.
chr11	125986603	125986604	HPV16REF|lcl|Human	1	2	E81_RAND28_C	.	+	.
chr11	67955744	67955745	HPV16REF|lcl|Human	1	2	E82_RAND35_D	.	+	.
chr11	7531898	7531899	HPV16REF|lcl|Human	1	2	E83_RAND97_C	.	+	.
chr12	81808145	81808146	HPV16REF|lcl|Human	1	2	E84_RAND69_D	.	+	.
chr12	66057682	66057683	HPV16REF|lcl|Human	1	2	E85_SINE_C	.	+	.
chr17	74543200	74543201	HPV16REF|lcl|Human	1	2	E86_RAND71_D	.	+	.
chr17	72761897	72761898	HPV16REF|lcl|Human	1	2	E87_RAND100_C	.	+	.
chr17	55999730	55999731	HPV16REF|lcl|Human	1	2	E88_RAND96_D	.	+	.
chr17	41270854	41270855	HPV16REF|lcl|Human	1	2	E89_RAND59_C	.	+	.
chr17	22296711	22296712	HPV16REF|lcl|Human	1	2	E90_RAND26_D	.	+	.
chr17	21380272	21380273	HPV16REF|lcl|Human	1	2	E91_RAND41_C	.	+	.
chr18	75492595	75492596	HPV16REF|lcl|Human	1	2	E92_RAND51_D	.	+	.
chr18	72524587	72524588	HPV16REF|lcl|Human	1	2	E93_RAND57_C	.	+	.
chr18	50983320	50983321	HPV16REF|lcl|Human	1	2	E94_RAND40_D	.	+	.
chr18	23246186	23246187	HPV16REF|lcl|Human	1	2	E95_RAND84_C	.	+	.
chr18	22565190	22565191	HPV16REF|lcl|Human	1	2	E96_LINE_D	.	+	.
chr18	19014455	19014456	HPV16REF|lcl|Human	1	2	E97_RAND66_C	.	+	.
chr18	17566176	17566177	HPV16REF|lcl|Human	1	2	E98_RAND54_D	.	+	.
chr18	3751553	3751554	HPV16REF|lcl|Human	1	2	E99_RAND46_C	.	+	.
chr18	2156322	2156323	HPV16REF|lcl|Human	1	2	E100_RAND95_D	.	+	.
